,latitude,longitude,date,time,confidence,latitude_clean,longitude_clean
347,37.42,14.29,2023-07-23,1251,h,37.42,14.29
348,37.42,14.29,2023-07-23,1251,h,37.42,14.29
349,37.43,14.31,2023-07-23,1251,h,37.43,14.31
350,37.49,14.08,2023-07-23,1251,h,37.49,14.08
351,37.67,15.17,2023-07-23,1251,h,37.67,15.17
352,37.85,12.74,2023-07-23,1251,h,37.85,12.74
353,37.92,13.04,2023-07-23,1251,h,37.92,13.04
354,37.93,12.65,2023-07-23,1251,h,37.93,12.65
355,37.95,12.63,2023-07-23,1251,h,37.95,12.63
356,37.95,15.81,2023-07-23,1251,h,37.95,15.81
357,37.96,12.65,2023-07-23,1251,h,37.96,12.65
358,38.06,15.73,2023-07-23,1251,h,38.06,15.73
359,38.06,15.73,2023-07-23,1251,h,38.06,15.73
360,41.0,15.96,2023-07-23,1253,h,41.0,15.96
361,41.0,15.95,2023-07-23,1253,h,41.0,15.95
362,45.71,11.39,2023-07-23,1253,h,45.71,11.39
363,45.71,11.39,2023-07-23,1253,h,45.71,11.39
364,45.71,11.4,2023-07-23,1253,h,45.71,11.4
365,37.49,14.35,2023-07-24,1051,h,37.49,14.35
366,37.49,14.34,2023-07-24,1051,h,37.49,14.34
367,37.49,14.35,2023-07-24,1051,h,37.49,14.35
368,37.49,14.36,2023-07-24,1051,h,37.49,14.36
369,37.5,14.36,2023-07-24,1051,h,37.5,14.36
370,37.5,14.36,2023-07-24,1051,h,37.5,14.36
371,37.54,14.77,2023-07-24,1051,h,37.54,14.77
372,37.55,14.78,2023-07-24,1051,h,37.55,14.78
373,38.16,15.7,2023-07-24,1051,h,38.16,15.7
374,40.14,18.32,2023-07-24,1051,h,40.14,18.32
375,40.21,18.24,2023-07-24,1051,h,40.21,18.24
376,40.24,18.0,2023-07-24,1051,h,40.24,18.0
377,40.24,18.0,2023-07-24,1051,h,40.24,18.0
378,40.92,16.2,2023-07-24,1051,h,40.92,16.2
379,41.46,15.42,2023-07-24,1051,h,41.46,15.42
380,41.63,15.49,2023-07-24,1051,h,41.63,15.49
381,36.68,15.13,2023-07-24,1232,h,36.68,15.13
382,37.37,14.03,2023-07-24,1232,h,37.37,14.03
383,37.42,14.13,2023-07-24,1232,h,37.42,14.13
384,37.42,14.1,2023-07-24,1232,h,37.42,14.1
385,37.43,13.72,2023-07-24,1232,h,37.43,13.72
386,37.49,14.36,2023-07-24,1232,h,37.49,14.36
387,37.5,14.35,2023-07-24,1232,h,37.5,14.35
388,37.52,14.78,2023-07-24,1232,h,37.52,14.78
389,37.54,14.78,2023-07-24,1232,h,37.54,14.78
390,37.56,14.92,2023-07-24,1232,h,37.56,14.92
391,37.56,14.92,2023-07-24,1232,h,37.56,14.92
392,37.85,13.8,2023-07-24,1232,h,37.85,13.8
393,37.86,13.8,2023-07-24,1232,h,37.86,13.8
394,37.95,13.27,2023-07-24,1232,h,37.95,13.27
395,38.13,13.11,2023-07-24,1232,h,38.13,13.11
